"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"User Management","User Details","User details should be shown","0","0","1","0","0"
"Job Management","Job Creation","FD should be able to create job","1","0","0","0","0"
"Job Management","Master API","","0","0","1","0","0"
"User Management","Authentication","Valid user should be able to login into the system","0","0","1","0","0"
"","","","2","0","0","0","0"
"Job Management","Job Details","Job details should be shown correctly","0","0","1","0","0"
"Job Management","Job Count","","0","0","1","0","0"
"Job Management","Master API","Master API should bring OEM details,problem,type,warranty status","0","0","1","0","0"
"Job Management","Job Count","Job count details is shown correctly","0","0","1","0","0"
